ts,block,tusdcBalance,noHoldingsRaw,noMidPriceRaw,equityRaw,windowPremiumSpent,marketNonce,lastOrderId
1788169918483,475968918,10002568000,0,857000,10002568000,9444000,38,147573952589676459746
1788169940427,475969130,10002568000,0,864000,10002568000,9444000,38,147573952589676459746
1788169961682,475969342,10002568000,0,873000,10002568000,9444000,38,147573952589676459746
